puuid,name
waxXnorSybWlMEMQOFt6JYMAN4D8XCU1erUpBH8mWPc1At9mCWk5c830VQjd_twSmCRzOqCnRnC69w,Albetrayber
DOK0IHUWyFr2owvihYOcSsuIo5-Cq_NP5yEEGedyEDMTCE0yZoGt3Rn_Z_F_CXepyvrgDTsKw-LqLg,Zwei und die
TjduPjjFpJPK1J3xmDivL7adtrKdv2TccaOkWQVilQpS2ipx-wGRLiwHA_goERUsr6q5gHKuucqtdw,Kim Chae1
OrbH35Yd4FZ_QHonvAi5wdyPQ2ievtZIYuiKomyTkOY45-j-5ywYxLqEfBl3HrPWRotD748cTRce7w,lalalalalalaaala
1c7Esb8wJ8jmWhf1WBckRu01Uwl_numXXIqgzXJvAgvJ0anHRUO9qKPlNdMy_xY3zq944JLPqz8o_w,BiΙΙy Butcher
h5BuCDDH1SoJEmyluc3q8jgiVTP8oked_sNt7Isod0nh-ph9OznjIZ9DKSlWFZBBAqlRfs_ZWkJ_rw,TH Krillin
frEaqIYHG3NcPnqBOzj7RG81x1xmXthCQEdJZE2TZQU6m7_mkfNcYeDPLFzM2H7I_7CqyGfnH1af1A,Jαvier
uRaLWpLCl1BOYc35L87gVZ6KXd6-7Rrz3DOtYIztV4BnRDr0oDGCh-7K0bO4rS_4L6CErO40urdpTA,WAO RANK 1 
a7_F_bRqiVpS9565nhUvyycd8MWj6aZ3L8sR0oH6YndfRhZc60zsnu7_1sB7-YL25vH4g_sj1TIxCg,SBSKSB
Nl1xynH6IwnUu9FqbSfpFkkee5rxewXhOqDtmLm2_UX6m7g9QRApMCUlXOgs1V0QmaV0MAHyJXC2ig,RRubyLOL
_GW9p33oRO8lPkJxihjQcUQbfRAlr69oQXcTbhGg64THoFqyx-Ji28Nk2xFWMMsfHvzkal2-y-YEKA,HAHAHAHHAHA
6MEp8QEQOvy5ExyI49wZDC6rWTGjdF6RANg1HZWrL70LkLnpufmO9NYCANhAge8os0iAHdhCqYTM2Q,Envy Carry
EcOP-NEJCb085rVOyMiQXuyE5Dy1M9V_UoLlgrwL_nmo_C6YKrDNpKBvcIvRP1MMdbZNtSMz_e8zgQ,Crowno
QwHrEeh6Q0AGvK39KqJ4LZIFrY9YQUrAdMDPhslAIXv6SMuT8Gg9Rp5oFcdu60XpKq5bYb9gQGNjTQ,HidoAD
D86EduKQ_Y9im7Atx5qj1wajlyLTR4OGhLFX1OoWzJzPLDx2syumA00lbBCbeBj38EVOXy_UyrLFvA,ANDARlEL
YxJBGnNZyKJGj3cEeJpxr0_XK_ocyZEcBxiMdNfDJv5QZ8wS4V91UWd3-Rttc36lFZdsbAsnO5VtJQ,soz
_piwE8VIHYPLyVn5ys-FSSyKc45Zu2CkKS900DmV3USbBQEH764T3MMLkS0B4TYXKE7NDNkMy3_r2A,MBS1
NnrwmH_lD-IgelRFcHCeY13ShGK2rFAZyO-wu82B4433vwl0Twhyerq8v9p7EtGkDAEnlLcEQNcwdQ,Lekcyc
sqEEovr1WSsjaUj61mKzOITMZNY_7Q4u3B9hp8uS1iZOvsPcT3F-wpESGWxVZb4I3iKB_M_7wkp74w,Kongenvenderhjem
jtDNXB_7p8KvenBqRDhvOeT4WPSZ8Yk_IaFsxGDeueXHRCWlDXsQO6H_Bpx_VME6OzMTIWQjjGBi-g,Sebekx
ozQ4WNN0sLM-QZuFqO5vhtopMpUBRnByNtSfeRMH-no_kow5wIryer9ClT0N26_UxiLOR3f5_z8ITA,BiIIy Butcher1
n0B2ofO60mHh3FJpfKDA-pat-VDA_5Z8DwMwtGqnnaoh0OB--fJLReAakU9TZTYTbcRZcosqI1U3QA,qiqi77
EhPlkc5AKn1lEZ23ezaNoyUjfy6zbnkCE9n6_Wsngj8C_HmStQ4vDGhgpbssWlymiNs8rc7nBNNxtg,Hope0
yyZx14eUNUDBeOx3FAogKGe3NF_IksyZ9Bj5rQhHX26uMqoBT-9z7LWf_3abEk-s7SS7ZO0ZWrQ5rg,Rabble Arouser
QnfKzVaHQG4s1ekiGa45yHWXuqOxMRNSfiSi8udXzHQDdWjy5vLkzkfAfMQxjkgM_Z_vhV_UvGGlPQ,Hantera
63fONDgvVn3YQYkTB-bNOLLoBFtV_80wlF9NWeeoP1HqQV3q-cKN-x6RCzQDa1PcLZs_5Gubk55utQ,TwTVxKenzuke
PuxwJRFmxS7zeqNgHisVAdbesKc2UaZxffKBQQ_AlbnqkV6R_LzEWz-ReBaRTnJ_u5TggqgeWG1-mw,nemesis fan 48
Eg6S5Pj1NwaVevcVTwJaHcHQ-MwaooVvn7NDguJTjsEoUBWa2tN6VxAHO317mvBEWn_ISbbRD1E6ww,Lathyrus
ei0ztORx1rOXyA2NVrsq3S1X5qJpIyjqDDNnMhsYskkdZiFM3OS-mth2U3HlSyl8-0ldU4-6PMP1rg,SK Keduii
e1ZCsrNh0BGpILeiWJ-lT85x7ZzB5RbHSLH-aZQnXTB9rDIdkHk-8EItlmECSigVxSck1ZXZ6oLrBw,XL ADBRO
QYL1XEdL-7VZSdxhfKmtmd-8oKgjwtwj7evrV_3ZxZwr0SNZ0qBtdQBDJvldxMLlRauYCi9MAe6YDQ,3Ð2Υ
590-gwNK7Hkucpro5fiSLTqR_uinoPxN8vY3lQAU5juebFTY_wvtt6R4CWxpcJpA_yBwy8wISIMafA,pocovirtuoso
CzzUM4zC--gKL4n78P9XzkXET4A-Xw-1nf5b7wZ6bEm-tcGrOMRac52H1aXl61Q7OwbGVgnI0gAwjg,SUPERSERIN
8gf51TwUA1IpaMG6sO_-gPcG2VIX-pUOfz7vsjNb2eE9XSxvZsJzqkUdCjeOlgBuap01mh9uP5x0WQ,Qnoxs
b6ho_fb_ENrnrK4xabzoo0pG-ZpV8eRPvzmlOdDEGz4hAyDSgYnuhwdJ0415EmUItJjIQQoijtsPJQ,Multirole Talent
yE7p1ZeYMglhPEeakmUjCyuG5nfxxmcYjq4gg8iyrAQfq1CxkgoVrp25bx1fcILNlm8AfcG5QAoUuA,xLinayaa
RRkZHPP5w5oyUXRwNu5V8nTn8voDt0yxzumt4RK9qNHC3d6ArT9Z-W2gZv7BvYBEqcKg3wgFn-6l8w,Mαster Oogwαy
Wu3w4Cxi20hbLo5gxFBVcsSmOB6wiP7vtVEmR9wXwwhR6WC8kOFjgM8FjpKO2HqoDcDAfcKDnEBvew,AHaHaCiK
S7umnWHb4es5Kt632KwtxLUbHoiluPWHwmtqfBjBXJIrPgFSas9bthrdnFgfnS_D8Per7YIbDdgUvQ,eustachian
j8iRYPHs1EYRWaJHAgwjnKXHPUz7pAaJV_jVrhezA_DUlhaKnz5-A7dkuEUwVLQIQAe41UTTIbpb7Q,Sabaσdy 
W5lA_A5jvvbNrtx7evHMHYIoT23uAS_v3cpwSpGxvgwOqQzBuNmbhK7pCPrt98TqGZG2Ro5I_ptO9A,Kenal
98uMCh3kztskIxysIQw4-1Mcn0-Z_CLYs4sbVR8pGAYJg4_s11RjPHNBy6AERmMtgsx9mADs4l-cfQ,Yagiao
67DbNBTsIaplThg1XVQ7lOGMmCt7IEXbZz-axcLj5DsMb1PxQx9CFJx7f0-AK5VhjgjpNoASfqjJPQ,Beanovich
bmCfvSuMtmzq2P5vh10-9M-rN0tTyRcPAZq6KcL8iF-HjR98enQ3eYBXVL8pRP8ch5hAetU93Erisg,FNC Hylissang
8UYHN3xLd8bqWkHMrGezippbq6LMEzy3uRxuWKaFvvtjyCUBkBo2nWDZrRKxZRGJjsIzTWGShgxfvQ,Palavra
Vse6rUa0c9ojnsRNwLhA5BjUPnX_E4-AXfBMl8YQyQ0yo6iMXcqExm7wr1JbTJ9AEEfFHpZueY-lUA,Notiko
kgPSCbUZ84xZCpOUYWxnNttdNMY1e2R2uQpulkFlGt6dFwhASFIk_Zf6GQhRGaYzOtZlt70ZGBjjqw,SUPERKAORI
XSSMDLXsMFYFH4EsXwUDoEdMLCNlLqCzzuyIYFE7JtLYiBGji2GNdFLvpPEyK3OfTh4r2GNu1qDDCA,virs standartu
VHS4IK7FL8vzLJ6NsKOQtMZVjqxlJH7-VROn5rFfgWcvOY8gpz2aLGD5CY4oUp10hohNE8tacy55UQ,SWE131
sk7KbNxtMKO-rOcjLg5il_Gpzav9qbj4LbJsb0iAaI8YgPSlplywdBgvWIw627TxnQvhSB5Ptx-Fbw,M1dLaoBan
0R5T0LJYOT3ubzu-4PPuNfwpE_Crq4-Ph_c460shKFMQQ6PMLURNlNFtRFSoMlz5BvzHgRpk7p822w,FUN k3y
xddmYXUVw_xlVrnDurlJnKfCgDG1Ld_9vRy2Tqs3rikwvgDAjg74UCxzp8QizvErTKEmvD-HWPWX8w,sanghyxxn
WydgJAqkHiPvNMtn8V5rXKI1_XBS-eFXZSIx1pprpiIAMNxjeV5tewmxRWQqMQj7UkchFULkzGoytA,DenSygeKamel69
uwwCcZKF69MPSyv6MFiFoo2pewyiKvYbKPRecFcvc05ZbDZ6Zm9w4vrafUESCD9hEeIwvwIWw-EP6g,Kazuha99
pW8tq-Qa67zD_8uHOH2NIEkaovmy65ugjtl-4f1Il9JlNCWbYE0dgZmTATr_O-GfwfsWKOXJbtGtsA,NNOne Piece
EuE_vart1JydrUVsPPfSvjrblQ_EHthf-xP85u8mwn0PD0-7ERR8Zmy3UWzxHHvZDCmlM2ZhA8Xs9g,WillowTheRaccoon
vvoJ5wywT_R1qHwuiUiVCru7ZlzQ7QtKjYvsdxX08DPsdNutTsfr6M7USrgwtdkW2bgylNwRmfRfuA,Villager C
3IMAEplrnkZXX2kD3tCTu4ra5Hti7dpNua4DmD4BaXhJIV4mwoPPQMh1oLpM9VUMpVWedPnmGxk5uA,Groinze
KnHGXHRZAujLBcOTLwub22ey3qtjVKsED4wjnS8nokX_U3A1Jb7yvwS1--Ed2DA2etQgpCgJ6Ul2CQ,Wesley Warren Jr
F0D8OAhgv711qLelayNgq49ER9hlcBRisqZVzF1YJRlCFlGzY0hZMdw3VdykJ-OEUetUIsut4n02ZQ,Haruuta1
TIglz9JYvU95UR-NiTBste0jVKvy3UTCBupWfgTYtuCS5qWdfiM41OuYjzhBYX7oeMtd7vHEwygg8A,BUFF KEQING
UoOuw4VDlIFl37zNtyCga4Mx7PZmQcUSh1BdaAFEB547C0idRx2blydmrLP0IMofZRcoxrgjg46-sA,Deádly
bgJ5yXFtMV9nqu02QZKG2eWynTJJg6f_MM1kSBXDFVERWwsgQsltWY3xtfbL3LLzix2PZaZSPhXszw,Stend
sUifSQoWifdn0p1mJnZQkAd8-jRQz0IDcNLc1l-fAVezzBGs6eAsYxon5IAgXOH3_wd4R0x0snFtaw,Bousillator15
lNncRhUVNuPulNT2H-4V81LCIqainJ3Ee1Tyrxs3yR2jAD8GbPULQzW_CPRPBDr01IV0CDqmQM3n8Q,Legø
hoCIkZZ3NZmwEYq4jYu9Kkx6rCtcBoUlcRIqtfZzeCMiLWapiGfh-BGomiA1rPJkXIwowAmMcPrx4Q,Momo3
rcPQTsnZ1lhitZ3Cx7ZBbYL1a_mvNI7MdowktChAECCFPwnTxDO0kTatUhm1IHLpEYkwDSolVK361A,GOOD GAME GG EZ
MigQjGADdnv6okAi8aR2QSLU4oByMbUr8OJvTINHGhNLlyPhxpTx5k7ILTICzFFMs7KjY4IJwcWIPg,TwTv Kaos Angel
dTpaRxGIHOrUfv2A8e6LK2K6QEZRu8vy0pU9mcK8ER3fWNsFqaiYqtuLSI2XeLGVdto1LAS6zsOxLg,KAURUYPQTY
cbq7xcy-SSC165lq2WTiSiVBTMTVgPRHfItSZpkNxsvGuQPdzFhcrqOWXtUup81lWPSPgnZ7XHXjHg,Badlulu00
wfrsSFx4rgcxKpK1xtMKlrEtz2ak7LrdrQh6fkXispEzMP3a_5TgnAj740fGkLKzzjFnS9WP3La28A,Speartan
ojXbSxIz8XwZtk7tfTtQijXTWNTGQGgzPYIz2mAxJu4_3M3lpLIoB3b-5aslB2Ucl7F30EAd9P2wfQ,avarice61
kFx44fzWjV9uiGFZU9wSC1X_li5jUVVjhWFOt7MkmFkK50PxXUki_Ael6STYp-Ehc_i9Xen4nWDHTw,999 1v9 L9 69 v9
0mzVJsoqImqiSxKPt6Uz6LasuZLayxJIyVrhRwKH3Yb_Apz4iP8N_-DdqGKP8gHF5T0tWeGMnfDsLQ,SK LUROX
BDJcYmSHXVTCMJRFuatMz9i8YvOyy13GhDxq0t-ZlC2xAKDGBEqIbMJpoCo-u8YbjlUS3V7wzBSm7g,SUPERBEE
Gn8namkIOQ-NqGlEbY_HdG_Xzl1J8Ue_5RKw-RyMpM9N-vUbpYh71c5XJFruOmTmCW10rhfuz81QPA,kanaaa
vzUWbt5DldU--nsgk0QwOzz7u_J_K5FRS8nA30AcOR4Qz-0S2U-L-FU11qszbB_ehdOeNuoybr08jQ,Dam ADC
Oe2p8R0S9KYUQD-i8Hcr7EXNGKVZ5HChW8xek4SKmg5KvViSOmI2j0ckpFA90-T-Txix6WxneyoD_g,BeteIgeuse
9tXCJfXoJegPY6yMNT-MqbvZFiFF2TKRo1tgKZdCT-Q_Lm0iHaUdpCKi-s3SCn5kGKfioMZesLC7uA,Donna Hamilton
gJh1cOI_rkeOyCUcqF9XT-NTjW6LibyR4C14HpoCf61qKw5fRNCqzrj7wgmDoyg4b5OSPz2XFY9bMw,hoch empor
1vbypBQYiuO4zzbVEfwiVHFhuZt1vdXKfsJLx4N729hxSvgOnsqTFeztClJsQ7cT-iAzshuBhCZ8vQ,ACD
sEQ-ymP5AE8XsKblnoxJCI3-PyDFS3dBhaiiQONt0tALZk5ihsYlSO-V5FYqhoRGl8gMPdQzmV7Z5w,Jerry Wooters
crWrxAbiXOPqU7Az3i9pHYVm5cax3AwGJiigGG7OgRB3gfpyF4qCzez7Fqc0JJbCyrTxHN8br3REJA,Excel lent mid
Eo4Giy6AfgbuhJReXT5TxD0uJKCpLK64Cu3AuKEo9Gfmmic-pri8y__jkPUGEW8kK3T6aRnCNE2YLg,oiushdfkjsdfsd
M93EAHALJ31SZTZ5YNitu_2ksRWlGjwDRuzzBAFTfys1sAguqJhHymTbrdy-s4H1kNbCxGgCjzvnYA,Mαrth
zqGnfYMfCTT1sHugVsLMCkYIB2FhmpTc0ukmHe3G9gUYR-FMsI8DM4X3YoOWZ1Xwst7my9eeusf0dw,balkanzacc29
_GKXRO2G-fxab23bduzNeoIGHO3pIODju7q0tjH5OOnyaAb3J_5bZM5IR0bqx3wnzm_ca3695R05nQ,boba dopa
15q-Zxe_LHHMEMgT7kZmFh7V7pRrlvIP6brHjklbfMOVeyZ6quUrwV4EPa6q_vuA-0Lq8zz1Wab9JQ,PORTUGUESE GALA
5H7U1ZvSSutRyx_PLngCGxRm0wxJng3fFKYrNRZnCn7IfcfQnxaLM1aSQmqcNhpVI3b0_7jObtFPQQ,Drututt
_b6BwVJXDudOWZLzwgLONyz8ENycFeaHsuHIzX_kd_AZUu5NhoYL3JNuZjgrbPtM3ZntOJdllH4Edw,Decay0
SSXHBLvPuMvGAC934PwMz9dZdvq0fnVkUyilQB8ExXk-JrWeBB4kcrBr0a1VEHtxmSYSRdsnlGgCkQ,RXBXCXP
P_dbjHP15gs9XQ6WQa5sj9_VBffGeJhZtWb8AM2jfUXvfIo_JTaBnYGSXbSI6ZGRGLrcyWVXLbgW9Q,Vertigo0
ghNJGfJ1D9bFesFOXXWu5WHxXOiqEfujfFES_qM539f7FJ170jJaeJaK3bf49yxphuAPGWrXL6BxEw,Neramin1
SkFWdv4IEugh8PI9wo_TLXAcpWDnkkwYZzxiH7vMJUb434vlZveQwccT7cRu1YcZ9GaJ_By1k0Fehw,Tsiperakos
M8AuI9Qwu-4rNxlCoVYmYLn4M3ZKksKTZMGPx4yrv8PM4UwVrA6GnJiR5AvebiKMTfWFPAM9AJPEuw,Stasko admirer
9OFJGPKL_kdhMUQIBr4UCS4inyB_GraHHxnxaM1E_JENGWxtCD3CGKKULWsANwS6gHVsJgex96U7xw,SUPERJUUZOU
iiM3fCV5F4nT9AnOMjXMMoB_Er05d5MEkjoBQWey3jIaWfryhNMGisuJDdvsL6JEaSQHITh4shcSqA,GO toucouille
KulInFR84FbWbN7OwDmgeVDxED4nEE3rOfOwk-qk0hDhlhQcEPn71HlYXGmjnkmklyMIg-4OYIX_Rw,H0rnlime
9xciwvPsiEJQmjyX_YIoqCEOeJ9P2nRuGbWEJpOFc6f3dHq_mXYR2BQxme7gjgIv_Jmr2KVGBIQMbg,Boukada
BPAlb_P4aeG6BjfdUh1_iYhMcfl4_HHQ1JotvgxULkMorkF7ZpfmEYxtqeVdHZWigNC8s2d-lklWkA,PI Blade40
l6FaW23wywvMienyULfBsmIpYvRxql5MQC3mp-AwhzMNXnR27yBjMBm8ZT7YommapqrljcspH8FSHg,TheRoyalKanin
kscc--Lh6QFvloldtl70zN2LWdjfSpxQWDgeQ7TNaFvmMWb4b9e_1PPvB2FRExURneGd5q4hbkpSCw,STP ME PARLE PAS
cSHqrNrhiBPK9ShIKY0yU22XtVBzdrfh3DIdqjSVmfG2Vk2xoOIaz0Qihi0rsOWh9M45rs6TXbPB2w,LordBastionIII
ibNwTz8r-4C02bUoUYR-9y53YRhMLJGEPSQalCqC9o2MP2BlO4dElEfnYQEcJZIkKenilFcez778Dw,V Julius Caesar
HSDHQ08ylUz0abUkQ0WyJ-BEXdIRjNzTvYwGmw2Nx91Uqcy2_uiJkvO8A4MhI0GjhUULg0Het9b4-g,Mοod Swings
R_PBzcwBNBgFI5EoayvgysAx_bL-s35M92NHMPK03O4waSL5KN8vDS4R59bUH78N0x57DwKiHMl_Gg,2035 TCL Champ
JsXk6xZgNh3-GcMsNUrNRdIGdIx0KqgN6bMK35dlMR7dynFJAjrPNg7Y46iPLvuBLTLuTbL3tqAwqg,on the fire
ZfLmqxq1Fklp1sHpNdWVwwTyq75xOovzWue5jvWThCk-ZpYprnf2m56DciW4bKRfX3OQ1wCoi62wAA,Ushuala
zewMizkya5YKvubDPjWxkWi5nr6LFaYe96Ca7tC6J1TRWc8AA2QkQnYO08dJnJAlKc53Ikz6sWmYmA,LiL TommyG
DPyZ55LOem2WRvMcX8Kgm33tDGovidfhNrEGJoKYI4S6R3LDj4j4mL9BmQVM2-f-DYv1J31nNELFfQ,Barkoon
VpCclVLd9SMwUIFsdaXbe9_C74L82kHoVXM3Y6QphRAoG9162FkzSdT1NEkBGSrKWMjkI0X7Wr9Ltg,megx ª
X13_YyaQv-s35qJQGBt6rwt_drhncqeMJDK5GTj6T3X8eXI5MTmdEkeH8f96ucGIvLvczkSLeWnTlA,XΥΖ
POROudagMfXpVdDrip5HcTrkL5Jj8rdCqnWYG1LAffpBUCETYbtAhnAkGk-dUUqBtbJmC28rkj03Tw,Built
l-h_nRRZQgja4fmwwerSK5aFjw07XTpPEkg4eBySstZLUbaBdddCy4oQAV75ZsASDczcrDXSe-t0aw,natamumu
tcuw422_AeTtoImhI9cQ4e8vjv4oO55nZiHQ7BOk6Wcz5vq7f2pOWd8pm1ODMYWJnYxwYfcEoGayNg,C9 Vayne V2
nRJbOaEymbUk9kN8yzUXxopRSZSy5sUeaa3q35zodIZ85pb5FslIpPehSDRg04TCkFJPGv3KHZLi_w,ReturnOfTheΚing
DsvwYoQNgezL84X-Cz8qI23xwoZuuLRToucMWo_Dip7V7PgFzE_qjua-k5TBmbNEjxwTkJRsKZ4vVg,SELAM KIZLAR
lKdK-kMdWaM0GFyhGrDV1U8uU-mKGujM0P8-Ffw9N0uU1mEc8TEAmXpKu1VGjk-ID1o-PQntl_jy3A,Lumerion
tVpYfbuhPnWH5xiub3xoQLU1n0Z4S3T4iJLGO3hNUlOwxWIzTh64jNyRoR5H89Ykpe8Pphd-NjP2Fg,printer break
wN9hbt1B5EIX5RymtR1RxIg5OI_lkpzHJF1zTSQcO_R_EwTigchlvGRAytTYNOQ2X4Jw8KnNody4Ig,Calmsky
tfo4c4N85R7SYymcM_iMmh8744AcIL8h0VF9Aq46UTY8henacTArHj4IFlYbZqnS7V0vqahx-0qd6w,BIade Runner2049
X8VFqqi4aXjR-rKdaBg3KPBpvm5Gy0snHV1jG_81NoGyxq8BckGEj45OKP1DXjIgHAme9M5UVzau8w,AloisNL
sHP_ERyH3D7SZlaw4ejK6o25hNTF1qX0Yt8eCYzfsgeFO6h02pUWlbYHz-lNiA7uk6aIArLCb7bdIQ,Maynter
ZOvop4eWg6_-fbPHH9dyQTwfceXWlu3-Z3Hs89U4tWQrY5SLldQ2FCHpfh0S9kiDk_OZP2PtfTbYeg,markyyy
4_7tzpoRSDtYNTy0e3IdI5i4TvrCMtfMhT_7gFcScvynNLiYpVZetuLLmhYk4qhBje2zL8ogzTBCGw,MetroArcher
M74MWAO7mMkRlxHavIOTBE-1M918q19_E0u5E_1OYduZufS5Ua7m_PL5aNMOt6fOAwET3pLq-19Mng,Happy Alexx
SHm0kDCi0ls-L-iSrD2H-idE6SL3iqvkkudze1M709cDkYdvZnnce9aSPjFT4rL3iDXvpD1CCNTI0w,Kobbe
9O0-syvYP3t1ldQqVYWMXC0g4czFmh0D2XLVwcW_upxTVfAo1Qc0__ix8z_H_muX185tho7cDeJiYQ,Just an engineer
mhQ4AkEO92IeURAsXwpEHdY-PTUA8aAqkQdb9oTV3nb726vmBCOg1XrM6kGRCfJJ5c8uf3MZidOGEA,Piękny Świat
RpvbeHWXhWga0YbYyWYdLaIrNgBBYjYA7oZbgKo4IVLtYHrltSXLb2XvOKgkOd_v70mTgbAkEoo1ow,Saviour LFT
JUZKhWdNjvXFaOO4BdRbx7UrxC6kav8gmOjPHHxoxx8MJ-E904LF8x5HVmqwtxx2xqpvTMmI-huddA,ayekasia
6ztfd9SPawwv_2AkSsaS5LbnlTMmOT4vTpxw1jU6SuM3j2DBW2mYWlct0hXdUh44xwCxFYyL9uuzxQ,moxokx
TgRh0BGST3NlcicgEngTmzz5iNPqKq8tlq2U9ro3fsR3g_TRrMBTaWiAC08ECcyR-qnt4OLdzF1Jcg,MagiFelix5
WcnsMnMk03fqhMjawAGto8yQPeiM237zCCM9CTaNlF-fjjiTV7CypcyKolwtQ4PlaJo3Ubv58VV06g,Isagì Yoichì
U46OsUXMc0F5aSch0VdpyQYwm1jjeBDrFCWM6mXZuN2v8tKQcrmvmzDpmqQ9RlUUyMZ4jKIhg5oT3A,Strey en mission
3IlyFKCLr-dBeqVzQ6kZ9g3U94AX1h_WZzgRSXrOic9sX7rXFRUlWijmhIAnrmo6huDGzeO4QsxNIw,i am Shrimp
-8euYSOO7KkgRPq4lp0hG79Nq1i6MQ71iyQfqVVANZUkEqu_9TzjSwsh1bkhlq1W38HhIhiOZgEO_Q,ComboScriptXD
ccDOrghYjpFynPSRT6Tp6DwvcTuDWYuc591btK57alSzUkfcuVNl3y7A5VF7lZQbXvKTsauECxlLTQ,Azzapp
iYNSwthaKbd235is9mtXWePitJ-BzaRQO78D7uJN7Mbc9DKghOXwTgkEX6OAKiS_8kLlbjeRKfAjmA,IHG PolskiKoz
w8EyHXPS3N2jgUa_bh61vVWO78CnDk4pSz1g1lVWeQ1quE8bOtd1kVIh3VCPkw_YV8a1KQuUEha9jA,STREYITO
CLHw63Q-3ifUSAvt1bbtM94Ibv4CxUggrAnCCPv4BNloiIhKQyGfroR8V0bR1XTWnUT0JXOUGmCoqg,Tοαst
